tt_action_item_id,time_begin,order_date,manual_fill,tr_id,geom,building_address
53718539445,2026-01-06 16:30:00,2026-01-06,False,122613,POINT (37.67715547 55.63715939),"Кантемировская ул., д.3, к.3"
53718539436,2026-01-06 16:18:00,2026-01-06,False,122613,POINT (37.67463421 55.6295888),"Ереванская ул., д.31"
53700336682,2026-01-06 15:16:00,2026-01-06,False,129964,POINT (37.68466248 55.67537437),"Затонная ул., д.14, к.2"
53699790888,2026-01-06 04:36:00,2026-01-06,False,135081,POINT (37.72208559 55.69159557),"ул. Гурьянова, д.3"
53698370227,2026-01-06 05:02:00,2026-01-06,False,130238,POINT (37.44898245 55.67041717),"Озёрная ул., д.33, к.2"
53698549244,2026-01-06 03:01:00,2026-01-06,False,132430,POINT (37.44567435 55.53012365),
53698549247,2026-01-06 03:05:00,2026-01-06,False,132430,POINT (37.45171769 55.51808043),
53698549243,2026-01-06 03:04:00,2026-01-06,False,132430,POINT (37.45096292 55.52110388),
53698549245,2026-01-06 03:02:00,2026-01-06,False,132430,POINT (37.44686015 55.52596176),
53698549246,2026-01-06 03:03:00,2026-01-06,False,132430,POINT (37.4485497 55.52309839),
53698549237,2026-01-06 03:00:00,2026-01-06,False,132430,POINT (37.4465586 55.53251809),
53698549667,2026-01-06 21:18:00,2026-01-06,False,132430,POINT (37.46886192 55.58187826),
53698549523,2026-01-06 11:54:00,2026-01-06,False,132430,POINT (37.48264457 55.60110563),
53718793830,2026-01-06 20:10:00,2026-01-06,False,131672,POINT (37.854969 55.73675002),"Новокосинская ул., д.13, к.2"
53718724130,2026-01-06 16:41:00,2026-01-06,False,135081,POINT (37.71608981 55.65859006),"Иловайская ул., д.9"
53700641316,2026-01-06 06:06:00,2026-01-06,False,133300,POINT (37.41556992 55.73389967),
53718724030,2026-01-06 14:16:00,2026-01-06,False,135081,POINT (37.72399205 55.67081128),"ул. Полбина, д.66"
53698549734,2026-01-06 03:05:00,2026-01-06,False,132430,POINT (37.45171769 55.51808043),
53699019069,2026-01-06 12:51:00,2026-01-06,False,122048,POINT (37.62106257 55.69640401),"Варшавское ш., д.19"
53699456312,2026-01-06 07:26:00,2026-01-06,False,133957,POINT (37.52365282 55.64304648),"ул. Миклухо-Маклая, д.22А"
53698328482,2026-01-06 13:24:00,2026-01-06,False,134040,POINT (37.46059199 55.69878521),"Очаковское ш., д.2Б"
53699790949,2026-01-06 06:55:00,2026-01-06,False,135081,POINT (37.71139069 55.65970065),
53700641193,2026-01-06 07:05:00,2026-01-06,False,133300,POINT (37.41266478 55.73372104),
53698328629,2026-01-06 07:09:00,2026-01-06,False,134040,POINT (37.48068948 55.70527177),"Матвеевская ул., д.2"
53698370149,2026-01-06 15:29:00,2026-01-06,False,130238,POINT (37.45035494 55.67134535),"Озёрная ул., д.33, к.2"
53698370127,2026-01-06 15:28:00,2026-01-06,False,130238,POINT (37.44872779 55.67114994),"Озёрная ул., д.33, к.1"
53698370130,2026-01-06 15:33:00,2026-01-06,False,130238,POINT (37.46482285 55.67751614),"ул. Мичуринский Проспект, Олимпийская Деревня, д.3, к.1"
53698370138,2026-01-06 15:35:00,2026-01-06,False,130238,POINT (37.46933931 55.68069577),"ул. Мичуринский Проспект, Олимпийская Деревня, д.1, к.2"
53698370128,2026-01-06 15:38:00,2026-01-06,False,130238,POINT (37.47930685 55.68647574),"Мичуринский просп., д.51"
53698370131,2026-01-06 15:39:00,2026-01-06,False,130238,POINT (37.48280279 55.68864974),"ул. Удальцова, д.93"
53698370132,2026-01-06 15:41:00,2026-01-06,False,130238,POINT (37.48817315 55.69161254),"Мичуринский просп., д.58, к.1"
53698370137,2026-01-06 15:42:00,2026-01-06,False,130238,POINT (37.49140192 55.69329393),"ул. Раменки, д.6, к.2"
53698370147,2026-01-06 15:45:00,2026-01-06,False,130238,POINT (37.49864042 55.69726061),"Мичуринский просп., д.29"
53698370142,2026-01-06 15:46:00,2026-01-06,False,130238,POINT (37.50268509 55.69947624),"Мичуринский просп., д.21, к.1"
53698370140,2026-01-06 15:47:00,2026-01-06,False,130238,POINT (37.50676557 55.70174042),"Мичуринский просп., д.9"
53698370144,2026-01-06 15:48:00,2026-01-06,False,130238,POINT (37.50923955 55.70310068),"Мичуринский просп., д.7"
53698370124,2026-01-06 15:49:00,2026-01-06,False,130238,POINT (37.51226659 55.70477369),"Мичуринский просп., д.3"
53698370122,2026-01-06 15:52:00,2026-01-06,False,130238,POINT (37.5128769 55.70683165),"ул. Дружбы, д.10"
53698370141,2026-01-06 15:54:00,2026-01-06,False,130238,POINT (37.50764475 55.71010675),"Ломоносовский просп., д.38"
